PK_Employé,Matricule,Qualité,Genre,Age,Pays de naissance,Ville de naissance,Situation familiale,Nombre de personnes à charge,Nombre de personnes à charge.1,Nombre d'enfants SFT,Etablissement,Code-Département,Code-Unité organisationnelle,Poste,Code-Classification,Code-Qualification,Expérience en Année,Code-Niveau d'expérience,Code-Type de contrat,Type de temps contractuel,Heures de présence / jour,Heures de présence / semaine,Heures de présence / mois,Hérité de l'affectation,Type d'affectation,Type de rattachement,Type travail,Etat de la mobilité,Pourcentage d'affectation,Pourcentage d'affectation budgeté,NbAbsencesTotaleParEmployé,TauxAbsenteisme,Droits Congés Payés,Note globale,Rubrique,Montant de l'augmentation,Taux d'augmentation,Motif d'augmentation,Montant du salaire,Situation
3861,659DATA046,Mme.,Féminin,35,Sénégal,SEN,Marié(e),0,0,0,MA-Cns,PRO,P00000887,Conseilleur Technique,EMP,E2,6,S01,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,104,0.06419753086419754,"1,5 jours par mois",103,SBM,250,5.263,Non défini,5000,Actif
3862,659DATA060,Mme.,Féminin,27,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000056,Chargé De Clientèle,EMP,E2,5,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,210,0.15555555555555556,"1,5 jours par mois",-99,SBM,162,4.681,Campagne Augmentat,3622.5,Actif
3863,659DATA068,Mr.,Masculin,35,Maroc,MAR,Marié(e),3,0,3,MA-Cns,ADM,DMG4,Agent De Maintenance,EMP,E4,3,J01,DI,temps plein,7.91,39.57,208,1,1,Administratif,Sur site,Locale,100,100,47,0.050213675213675216,"1,5 jours par mois",-99,SBM,179.68,3,Campagne Augmentat,6169.12,Actif
3864,659DATA072,Mr.,Masculin,32,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000981,Chargé De Clientèle,EMP,E2,1,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,31,0.11481481481481481,"1,5 jours par mois",-99,SBM,0,0,Non défini,3845,Actif
3865,659DATAM00,Mme.,Féminin,38,Maroc,CASABLANCA,Marié(e),0,0,0,MA-Cns,ADM,HR004,Hr Business Partner,CAD,C1,8,C01,DI,temps plein,0,39.57,208,1,1,Administratif,Sur site,Locale,100,100,174,0.06971153846153846,2 jours par mois,118,SBM,1337.26,7.4,Campagne Augmentat,19408.27,Actif
3866,660DATA039,Mr.,Masculin,33,Maroc,CASABLANCA,Célibataire,0,0,0,MA-Cns,ADM,DRH2,Chargé De Recrutement,CAS,A2,7,C01,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,145,0.07671957671957672,2 jours par mois,64,SBM,272.32,4,Campagne Augmentat,7080.32,Actif
3867,660DATA043,Mme.,Féminin,28,Maroc,MEKNES,Marié(e),0,0,0,MA-MKS,PRO,P00001175,Chargé De Clientèle,EMP,E2,6,C03,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,337,0.2080246913580247,"1,5 jours par mois",108,SBM,109.3,2.557,Mutation,4384.3,Actif
3868,660DATA062,Mme.,Féminin,28,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000364,Chargé De Clientèle,EMP,E2,4,C01,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,81,0.075,"1,5 jours par mois",-99,SBM,225,5.59,Non défini,4250,Actif
3869,660DATA064,Mr.,Masculin,29,Sénégal,SEN,Célibataire,0,0,0,MA-Cns,PRO,P00000300,Conseilleur Technique,EMP,E2,4,C02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,41,0.03796296296296296,"1,5 jours par mois",-99,SBM,250,5.882,Non défini,4500,Actif
3870,661DATA039,Mme.,Féminin,30,Maroc,CASABLANCA,Marié(e),0,0,0,MA-Cns,ADM,DRH61,Chargé D'Administration,EMP,E3,7,C01,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,125,0.06613756613756613,"1,5 jours par mois",86,SBM,365.75,7.7,Campagne Augmentat,5115.75,Actif
3871,661DATA046,Mr.,Masculin,33,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000953,Conseiller Commercial,EMP,E2,6,C03,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,135,0.08333333333333333,"1,5 jours par mois",105,SBM,225,5.556,Campagne Augmentat,4275,Actif
3872,661DATA068,Mr.,Masculin,31,Sénégal,SEN,Célibataire,0,0,0,MA-Cns,PRO,P00001052,Chargé De Clientèle,EMP,E2,3,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,49,0.06049382716049383,"1,5 jours par mois",-99,SBM,180,4.681,Campagne Augmentat,4025,Actif
3873,661DATAE22,Mr.,Masculin,41,Maroc,MAR,Célibataire,0,0,0,MA-Cns,PRO,P00000312,Conseiller Commercial,EMP,E2,13,S02,DI,temps plein,0,42,180,1,1,Administratif,Sur site,Locale,100,100,204,0.05811965811965812,"1,5 jours par mois",105,SBM,250,5,Campagne Augmentat,5250,Actif
3874,662DATA008,Mlle,Féminin,40,Maroc,MAR,Célibataire,0,0,0,MA-Cns,PRO,P00000592,Chargé De Clientèle,EMP,E2,12,S01,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,669,0.2064814814814815,"1,5 jours par mois",105,SBM,250,5.263,Campagne Augmentat,5000,Actif
3875,662DATA031,Mr.,Masculin,35,Maroc,CASABLANCA,Marié(e),0,0,0,MA-Cns,PRO,P00000887,Responsable D'Équipe,CAS,A2,10,C02,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,145,0.053703703703703705,"1,5 jours par mois",104,SBM,500,5.952,Campagne Augmentat,8900,Actif
3876,662DATA033,Mr.,Masculin,43,Maroc,MAR,Célibataire,0,0,0,MA-Cns,PRO,P00000557,Responsable D'Équipe,CAS,A2,6,J03,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,102,0.06296296296296296,"1,5 jours par mois",-99,SBM,500,7.143,Campagne Augmentat,7500,Actif
3877,662DATA034,Mme.,Féminin,46,Maroc,CASABLANCA,Marié(e),0,0,0,MA-Cns,PRO,P00000526,Chargé De Clientèle,EMP,E2,9,C03,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,179,0.07366255144032922,"1,5 jours par mois",88,SBM,250,5.556,Campagne Augmentat,4750,Actif
3878,662DATA039,Mme.,Féminin,36,Maroc,CASABLANCA,Marié(e),0,0,0,MA-Cns,PRO,P00000847,Conseilleur Technique,EMP,E4,7,J03,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,225,0.11904761904761904,"1,5 jours par mois",-99,SBM,250,5,Campagne Augmentat,5250,Actif
3879,662DATA042,Mr.,Masculin,35,Maroc,RABAT,Célibataire,0,0,0,MA-Cns,PRO,P00000831,Conseiller Commercial,EMP,E2,7,C03,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,130,0.06878306878306878,"1,5 jours par mois",98,SBM,250,5.556,Campagne Augmentat,4750,Actif
3880,662DATA045,Mr.,Masculin,30,Maroc,MAR,Célibataire,0,0,0,MA-Cns,PRO,P00000056,Chargé De Clientèle,EMP,E2,6,C01,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,124,0.07654320987654321,"1,5 jours par mois",97,SBM,202.5,5.59,Campagne Augmentat,3825,Actif
3881,662DATA058,Mme.,Féminin,25,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000555,Chargé De Clientèle,EMP,E2,4,C02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,56,0.05185185185185185,"1,5 jours par mois",-99,SBM,250,5.882,Campagne Augmentat,4500,Actif
3882,662DATA072,Mme.,Féminin,29,Sénégal,SEN,Marié(e),0,0,0,MA-Cns,PRO,P00000271,Conseiller Commercial,EMP,E2,2,J01,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,38,0.07037037037037037,"1,5 jours par mois",-99,SBM,0,0,Non défini,3610,Actif
3883,662DATA077,Mme.,Féminin,37,Côte d'Ivoire,CIV,Marié(e),0,0,0,MA-Cns,PRO,P00000976,Chargé De Clientèle,EMP,E2,1,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,19,0.07037037037037037,"1,5 jours par mois",-99,SBM,0,0,Non défini,3845,Actif
3884,663DATA060,Mr.,Masculin,39,Maroc,MAR,Célibataire,0,0,0,MA-Cns,PRO,P00000525,Conseiller Commercial,EMP,E2,5,C03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,112,0.08296296296296296,"1,5 jours par mois",-99,SBM,250,5.556,Non défini,4750,Actif
3885,663DATA063,Mr.,Masculin,49,Maroc,MAR,Célibataire,0,0,0,MA-TAC,PRO,P00000574,Chargé De Clientèle,EMP,E2,4,C02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,53,0.049074074074074076,"1,5 jours par mois",-99,SBM,141.08,3.237,Campagne Augmentat,4500,Actif
3886,663DATA064,Mr.,Masculin,48,Maroc,MAR,Marié(e),2,0,2,MA-Cns,PRO,P00000887,Conseilleur Technique,EMP,E2,1,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,57,0.2111111111111111,"1,5 jours par mois",-99,SBM,0,0,Non défini,3845,Actif
3887,663DATA067,Mr.,Masculin,34,Sénégal,SEN,Célibataire,0,0,0,MA-Cns,PRO,P00001052,Chargé De Clientèle,EMP,E2,3,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,36,0.044444444444444446,"1,5 jours par mois",-99,SBM,180,4.681,Campagne Augmentat,4025,Actif
3888,663DATA077,Mr.,Masculin,38,Sénégal,SEN,Célibataire,0,0,0,MA-Cns,PRO,P00000976,Chargé De Clientèle,EMP,E2,1,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,45,0.16666666666666666,"1,5 jours par mois",-99,SBM,0,0,Non défini,3845,Actif
3889,664DATA046,Mr.,Masculin,33,Maroc,MAR,Célibataire,0,0,0,MA-Cns,PRO,QM MAR2,Conseilleur Technique,EMP,E2,6,C03,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,117,0.07222222222222222,"1,5 jours par mois",98,SBM,250,5.556,Campagne Augmentat,4750,Actif
3890,665DATA039,Mme.,Féminin,32,Maroc,CASABLANCA,Marié(e),0,0,0,MA-Cns,PRO,D03010301,Referent Metier,EMP,E4,7,J03,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,112,0.05925925925925926,"1,5 jours par mois",-99,SBM,250,5,Non défini,5250,Actif
3891,665DATA063,Mme.,Féminin,27,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000519,Chargé De Clientèle,EMP,E2,4,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,511,0.47314814814814815,"1,5 jours par mois",-99,SBM,0,0,Non défini,3845,Actif
3892,665DATA070,Mme.,Féminin,25,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000976,Chargé De Clientèle,EMP,E2,1,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,31,0.11481481481481481,"1,5 jours par mois",-99,SBM,180,4.681,Non défini,4025,Actif
3893,665DATA072,Mr.,Masculin,24,Maroc,MAR,Célibataire,0,0,0,MA-Cns,PRO,P00000577,Conseilleur Technique,EMP,E2,2,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,11,0.020370370370370372,"1,5 jours par mois",-99,SBM,162,4.681,Non défini,3622.5,Actif
3894,665DATA077,Mme.,Féminin,26,Congo,COG,Marié(e),0,0,0,MA-Cns,PRO,P00000981,Chargé De Clientèle,EMP,E2,1,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,28,0.1037037037037037,"1,5 jours par mois",-99,SBM,0,0,Non défini,3845,Actif
3895,665DATAE23,Mme.,Féminin,45,Maroc,CASABLANCA,Marié(e),0,0,0,MA-Cns,PRO,P00000282,Conseilleur Technique,EMP,E2,6,C01,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,346,0.21358024691358024,"1,5 jours par mois",104,SBM,225,5.59,Campagne Augmentat,4250,Actif
