PK_Employé,Matricule,Qualité,Genre,Age,Pays de naissance,Ville de naissance,Situation familiale,Nombre de personnes à charge,Nombre de personnes à charge.1,Nombre d'enfants SFT,Etablissement,Code-Département,Code-Unité organisationnelle,Poste,Code-Classification,Code-Qualification,Expérience en Année,Code-Niveau d'expérience,Code-Type de contrat,Type de temps contractuel,Heures de présence / jour,Heures de présence / semaine,Heures de présence / mois,Hérité de l'affectation,Type d'affectation,Type de rattachement,Type travail,Etat de la mobilité,Pourcentage d'affectation,Pourcentage d'affectation budgeté,NbAbsencesTotaleParEmployé,TauxAbsenteisme,Droits Congés Payés,Note globale,Rubrique,Montant de l'augmentation,Taux d'augmentation,Motif d'augmentation,Montant du salaire,Situation
1179,187DATAE22,Mlle,Féminin,38,Maroc,MAR,Célibataire,0,0,0,MA-Cns,PRO,P00001166,Conseilleur Technique,EMP,E2,14,S03,DI,temps plein,0,42,180,1,1,Administratif,Sur site,Locale,100,100,290,0.07671957671957672,"1,5 jours par mois",103,SBM,250,4.762,Campagne Augmentat,5500,Actif
1180,188DATA008,Mme.,Féminin,39,Maroc,CASABLANCA,Marié(e),0,0,0,MA-Cns,PRO,P00000592,Responsable D'Équipe,CAS,A2,12,S01,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,367,0.11327160493827161,"1,5 jours par mois",110,SBM,900,9.574,Campagne Augmentat,10300,Actif
1181,188DATA038,Mr.,Masculin,54,Maroc,CASABLANCA,Marié(e),0,0,0,MA-Cns,PRO,P00000365,Ingénieur Commercial,EMP,E4,8,C02,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,134,0.062037037037037036,"1,5 jours par mois",-99,SBM,500,8.333,Campagne Augmentat,6500,Actif
1182,188DATA069,Mme.,Féminin,31,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000519,Chargé De Clientèle,EMP,E2,3,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,213,0.26296296296296295,"1,5 jours par mois",-99,SBM,180,4.681,Campagne Augmentat,4025,Actif
1183,188DATA070,Mr.,Masculin,28,Maroc,MAR,Célibataire,0,0,0,MA-Cns,PRO,P00000902,Conseilleur Technique,EMP,E2,2,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,91,0.1685185185185185,"1,5 jours par mois",-99,SBM,162,4.681,Campagne Augmentat,3622.5,Actif
1184,188DATA072,Mme.,Féminin,27,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000559,Conseiller Commercial,EMP,E2,2,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,19,0.03518518518518519,"1,5 jours par mois",-99,SBM,211.5,6.51,Non défini,3460.5,Actif
1185,188DATA077,Mme.,Féminin,28,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00001247,Chargé De Clientèle,EMP,E2,1,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,25,0.09259259259259259,"1,5 jours par mois",-99,SBM,0,0,Non défini,3845,Actif
1186,188DATAE22,Mr.,Masculin,48,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,DOP651021,Chargé De Clientèle,EMP,E2,14,S03,DI,temps plein,0,42,180,1,1,Administratif,Sur site,Locale,100,100,207,0.05476190476190476,"1,5 jours par mois",86,SBM,0,0,Non défini,5500,Actif
1187,189DATA036,Mme.,Féminin,29,Maroc,CASABLANCA,Marié(e),0,0,0,MA-Cns,PRO,P00000526,Conseiller Commercial,EMP,E2,8,C03,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,285,0.13194444444444445,"1,5 jours par mois",-99,SBM,250,5.556,Campagne Augmentat,4750,Actif
1188,189DATA037,Mr.,Masculin,42,Sénégal,DAKAR,Marié(e),2,0,2,MA-Cns,PRO,DOP373,Responsable D'Équipe,CAS,A2,8,J03,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,122,0.05648148148148148,"1,5 jours par mois",101,SBM,500,7.143,Campagne Augmentat,7500,Actif
1189,189DATA041,Mr.,Masculin,29,Maroc,EL JADIDA,Célibataire,0,0,0,MA-Cns,PRO,P00000577,Conseilleur Technique,EMP,E2,7,C03,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,139,0.07354497354497354,"1,5 jours par mois",108,SBM,225,5.556,Campagne Augmentat,4275,Actif
1190,189DATA058,Mme.,Féminin,29,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000384,Conseiller Commercial,EMP,E2,5,C01,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,64,0.047407407407407405,"1,5 jours par mois",96,SBM,121.83,2.951,Campagne Augmentat,4250,Actif
1191,189DATA064,Mr.,Masculin,28,Maroc,MAR,Célibataire,0,0,0,MA-Cns,PRO,P00000213,Conseilleur Technique,EMP,E2,4,J02,AN,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,78,0.07222222222222222,"1,5 jours par mois",-99,SBM,427.5,11.801,Non défini,4050,Actif
1192,189DATA065,Mr.,Masculin,38,Maroc,MAR,Célibataire,0,0,0,MA-TAC,PRO,P00000574,Chargé De Clientèle,EMP,E2,3,C01,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,57,0.07037037037037037,"1,5 jours par mois",-99,SBM,121.59,2.945,Non défini,4250,Actif
1193,189DATA070,Mme.,Féminin,39,Maroc,MAR,Divorcé(e),0,0,0,MA-Cns,PRO,P00000902,Conseilleur Technique,EMP,E2,2,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,110,0.2037037037037037,"1,5 jours par mois",-99,SBM,162,4.681,Campagne Augmentat,3622.5,Actif
1194,189DATA072,Mr.,Masculin,28,Sénégal,SEN,Célibataire,0,0,0,MA-Cns,PRO,P00000559,Conseiller Commercial,EMP,E2,2,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,8,0.014814814814814815,"1,5 jours par mois",-99,SBM,211.5,6.51,Non défini,3460.5,Actif
1195,189DATA077,Mr.,Masculin,32,Côte d'Ivoire,CIV,Célibataire,0,0,0,MA-Cns,PRO,P00000981,Chargé De Clientèle,EMP,E2,1,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,30,0.1111111111111111,"1,5 jours par mois",-99,SBM,0,0,Non défini,3845,Actif
1196,190DATA035,Mme.,Féminin,30,Maroc,SIDI BENNOUR,Marié(e),0,0,0,MA-Cns,PRO,P00000902,Conseilleur Technique,EMP,E2,9,C02,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,383,0.15761316872427983,"1,5 jours par mois",-99,SBM,225,5.882,Campagne Augmentat,4050,Actif
1197,190DATA041,Mme.,Féminin,28,Maroc,EL JADIDA,Marié(e),0,0,0,MA-Cns,PRO,P00000645,Chargé De Clientèle,EMP,E2,1,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,109,0.40370370370370373,"1,5 jours par mois",-99,SBM,0,0,Non défini,3845,Actif
1198,190DATA042,Mr.,Masculin,37,Sénégal,SEN,Célibataire,0,0,0,MA-Cns,PRO,P00000343,Conseiller Commercial,EMP,E2,7,C02,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,126,0.06666666666666667,"1,5 jours par mois",100,SBM,250,5.882,Campagne Augmentat,4500,Actif
1199,190DATA043,Mr.,Masculin,45,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000008,Conseilleur Technique,EMP,E2,6,S01,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,147,0.09074074074074075,"1,5 jours par mois",114,SBM,250,5.263,Campagne Augmentat,5000,Actif
1200,190DATA044,Mme.,Féminin,28,Maroc,MEKNES,Marié(e),0,0,0,MA-Cns,PRO,P00000134,Chargé De Clientèle,EMP,E2,6,C02,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,142,0.08765432098765433,"1,5 jours par mois",0,SBM,225,5.882,Non défini,4050,Actif
1201,190DATA071,Mr.,Masculin,27,Maroc,MAR,Célibataire,0,0,0,MA-Cns,PRO,P00000872,Conseiller Digital,EMP,E2,2,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,24,0.044444444444444446,"1,5 jours par mois",-99,SBM,211.5,6.51,Campagne Augmentat,3460.5,Actif
1202,190DATA077,Mme.,Féminin,29,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000976,Chargé De Clientèle,EMP,E2,1,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,21,0.07777777777777778,"1,5 jours par mois",-99,SBM,0,0,Non défini,3845,Actif
1203,191DATA033,Mr.,Masculin,40,Maroc,MAR,Marié(e),1,0,1,MA-Cns,PRO,DOP781,Conseiller Commercial,EMP,E2,10,C03,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,227,0.08407407407407408,"1,5 jours par mois",102,SBM,250,5.556,Non défini,4750,Actif
1204,191DATA037,Mme.,Féminin,34,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,DOP3721,Conseiller Commercial,EMP,E2,4,C01,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,390,0.3611111111111111,"1,5 jours par mois",84,SBM,202.5,5.59,Campagne Augmentat,3825,Actif
1205,191DATA040,Mr.,Masculin,34,Sénégal,SEN,Marié(e),1,0,1,MA-ABD,PRO,P00000385,Chargé De Clientèle,EMP,E2,7,C03,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,148,0.07830687830687831,"1,5 jours par mois",102,SBM,250,5.556,Campagne Augmentat,4750,Actif
1206,191DATA044,Mr.,Masculin,30,Maroc,MEKNES,Célibataire,0,0,0,MA-MKS,PRO,P00001018,Responsable D'Équipe,CAS,A1,6,S01,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,109,0.06728395061728396,"1,5 jours par mois",93,SBM,147.29,2.338,Mutation,6447.29,Actif
1207,191DATA063,Mme.,Féminin,41,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,DOP3461,Conseilleur Technique,EMP,E2,4,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,98,0.09074074074074075,"1,5 jours par mois",-99,SBM,180,4.681,Campagne Augmentat,4025,Actif
1208,191DATA064,Mr.,Masculin,39,Maroc,MAR,Célibataire,0,0,0,MA-Cns,PRO,P00000902,Conseilleur Technique,EMP,E2,4,C01,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,53,0.049074074074074076,"1,5 jours par mois",-99,SBM,202.5,5.59,Campagne Augmentat,3825,Actif
1209,191DATA070,Mme.,Féminin,31,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000902,Conseilleur Technique,EMP,E2,2,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,75,0.1388888888888889,"1,5 jours par mois",-99,SBM,162,4.681,Campagne Augmentat,3622.5,Actif
1210,191DATA072,Mme.,Féminin,26,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000559,Conseiller Commercial,EMP,E2,2,J01,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,16,0.02962962962962963,"1,5 jours par mois",-99,SBM,0,0,Non défini,3249,Actif
1211,191DATA077,Mme.,Féminin,57,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000981,Chargé De Clientèle,EMP,E2,1,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,15,0.05555555555555555,"1,5 jours par mois",-99,SBM,0,0,Non défini,3845,Actif
1212,191DATAE10,Mlle,Féminin,39,Maroc,MAR,Célibataire,0,0,0,MA-Cns,ADM,DAF6,Crd Fiscalite,CAD,C1,14,J01,DI,temps plein,4.610516765285995,39.6441459566075,182.884352399737,1,1,Administratif,Sur site,Locale,100,100,335,0.08722660382400159,2 jours par mois,3,SBM,845.25,7,Campagne Augmentat,12920.25,Actif
1213,192DATA045,Mme.,Féminin,28,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000296,Conseiller Commercial,EMP,E2,6,C02,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,67,145,0.08950617283950617,"1,5 jours par mois",-99,SBM,475,11.801,Campagne Augmentat,4500,Actif
1214,192DATA047,Mme.,Féminin,36,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000889,Conseilleur Technique,EMP,E2,6,C03,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,109,0.06728395061728396,"1,5 jours par mois",99,SBM,250,5.556,Campagne Augmentat,4750,Actif
1215,192DATA065,Mme.,Féminin,30,Maroc,MAR,Marié(e),0,0,0,MA-TAC,PRO,P00000574,Chargé De Clientèle,EMP,E2,3,C01,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,145,0.17901234567901234,"1,5 jours par mois",-99,SBM,121.59,2.945,Campagne Augmentat,4250,Actif
1216,192DATA067,Mr.,Masculin,26,Maroc,MAR,Célibataire,0,0,0,MA-Cns,ADM,SALES002,Chef De Projet,CAD,C1,3,J01,DI,temps plein,7.91,39.57,208,1,1,Administratif,Sur site,Locale,100,100,46,0.049145299145299144,2 jours par mois,-99,SBM,2990.54,12.601,Historique,26722.54,Actif
1217,192DATA071,Mme.,Féminin,27,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000872,Conseiller Digital,EMP,E2,2,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,19,0.03518518518518519,"1,5 jours par mois",-99,SBM,211.5,6.51,Campagne Augmentat,3460.5,Actif
1218,192DATA077,Mme.,Féminin,47,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000976,Chargé De Clientèle,EMP,E2,1,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,33,0.12222222222222222,"1,5 jours par mois",-99,SBM,180,4.681,Non défini,4025,Actif
1219,192DATAI01,Mr.,Masculin,46,Maroc,MAR,Célibataire,0,0,0,MA-TAC,PRO,P00000130,Chargé De Clientèle,EMP,E2,2,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,30,0.05555555555555555,"1,5 jours par mois",-99,SBM,81,2.054,Campagne Augmentat,4025,Actif
1220,193DATA046,Mr.,Masculin,31,Sénégal,SEN,Célibataire,0,0,0,MA-TAC,PRO,P00001237,Chargé De Clientèle,EMP,E2,6,S01,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,159,0.09814814814814815,"1,5 jours par mois",78,SBM,127.03,2.541,Mutation,5127.03,Actif
1221,193DATA071,Mme.,Féminin,21,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000872,Conseiller Digital,EMP,E2,2,J01,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,231,0.42777777777777776,"1,5 jours par mois",-99,SBM,0,0,Non défini,3249,Actif
1222,193DATA072,Mr.,Masculin,28,Maroc,MAR,Célibataire,0,0,0,MA-Cns,PRO,P00000559,Conseiller Commercial,EMP,E2,2,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,17,0.03148148148148148,"1,5 jours par mois",-99,SBM,211.5,6.51,Non défini,3460.5,Actif
1223,193DATA077,Mme.,Féminin,29,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00001247,Chargé De Clientèle,EMP,E2,1,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,14,0.05185185185185185,"1,5 jours par mois",-99,SBM,0,0,Non défini,3845,Actif
1224,194DATA031,Mme.,Féminin,35,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000378,Conseiller Commercial,EMP,E2,11,S02,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,203,0.06835016835016836,"1,5 jours par mois",109,SBM,250,5,Campagne Augmentat,5250,Actif
1225,194DATA034,Mlle,Féminin,35,Maroc,MAR,Célibataire,0,0,0,MA-Cns,ADM,DRH2,Chargé De Sourcing,EMP,E2,9,C01,DI,temps plein,0,39.57,208,1,1,Administratif,Sur site,Locale,100,100,163,0.058048433048433046,2 jours par mois,93,SBM,359.15,6.828,Titularisation,5619,Actif
1226,194DATA045,Mme.,Féminin,28,Maroc,MAR,Marié(e),0,0,0,MA-MKS,PRO,P00001175,Chargé De Clientèle,EMP,E2,6,C02,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,114,0.07037037037037037,"1,5 jours par mois",99,SBM,126.72,3.23,Campagne Augmentat,4050,Actif
1227,194DATA066,Mr.,Masculin,34,Sénégal,SEN,Marié(e),0,0,0,MA-Cns,PRO,P00000300,Chargé De Clientèle,EMP,E2,3,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,54,0.06666666666666667,"1,5 jours par mois",-99,SBM,180,4.681,Campagne Augmentat,4025,Actif
1228,194DATA077,Mme.,Féminin,28,Rép centrafricaine,CAF,Marié(e),0,0,0,MA-Cns,PRO,P00000976,Chargé De Clientèle,EMP,E2,1,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,108,0.4,"1,5 jours par mois",-99,SBM,0,0,Non défini,3845,Actif
1229,194DATAE20,Mr.,Masculin,49,Maroc,MAR,Marié(e),0,0,0,MA-Cns,ADM,B06030000,Bu Manager,CAD,C2,22,C01,DI,temps plein,0,42,208,1,1,Administratif,Sur site,Locale,100,100,277,0.040355477855477856,2 jours par mois,3,SBM,1368.48,5,Campagne Augmentat,28738.02,Actif
1230,195DATA008,Mr.,Masculin,41,Maroc,MEKNES,Marié(e),0,0,0,MA-Cns,SPR,QM MAR3,Contrôleur Qualité,EMP,E3,12,S02,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,230,0.07098765432098765,"1,5 jours par mois",113,SBM,500,7.692,Non défini,7000,Actif
1231,195DATA030,Mr.,Masculin,43,Tunisie,TUN,Célibataire,0,0,0,MA-Cns,SPR,QM MAR4,Contrôleur Qualité,EMP,E3,12,C03,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,292,0.09012345679012346,"1,5 jours par mois",108,SBM,250,4.348,Campagne Augmentat,6000,Actif
1232,195DATA044,Mme.,Féminin,29,Maroc,MEKNES,Marié(e),0,0,0,MA-MKS,PRO,P00001175,Chargé De Clientèle,EMP,E2,6,C01,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,141,0.08703703703703704,"1,5 jours par mois",86,SBM,98.28,2.569,Mutation,3923.28,Actif
1233,195DATA067,Mr.,Masculin,37,Sénégal,SEN,Marié(e),0,0,0,MA-Cns,PRO,P00000273,Conseilleur Technique,EMP,E2,3,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,54,0.06666666666666667,"1,5 jours par mois",-99,SBM,180,4.681,Campagne Augmentat,4025,Actif
1234,195DATA069,Mme.,Féminin,26,Maroc,MAR,Marié(e),0,0,0,MA-MKS,PRO,P00000056,Chargé De Clientèle,EMP,E2,3,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,60,0.07407407407407407,"1,5 jours par mois",-99,SBM,214.88,6.443,Campagne Augmentat,3550.1,Actif
1235,195DATA072,Mme.,Féminin,23,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000559,Conseiller Commercial,EMP,E2,2,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,11,0.020370370370370372,"1,5 jours par mois",-99,SBM,211.5,6.51,Non défini,3460.5,Actif
1236,195DATA077,Mme.,Féminin,32,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000976,Chargé De Clientèle,EMP,E2,1,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,32,0.11851851851851852,"1,5 jours par mois",-99,SBM,180,4.681,Non défini,4025,Actif
1237,196DATA042,Mme.,Féminin,45,Maroc,CASABLANCA,Marié(e),0,0,0,MA-Cns,PRO,P00000306,Conseiller Commercial,EMP,E2,7,C01,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,154,0.08148148148148149,"1,5 jours par mois",91,SBM,225,5.59,Campagne Augmentat,4250,Actif
1238,196DATA045,Mme.,Féminin,31,Congo,COG,Marié(e),0,0,0,MA-Cns,PRO,P00001226,Conseilleur Technique,EMP,E2,6,C03,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,197,0.12160493827160494,"1,5 jours par mois",100,SBM,250,5.556,Campagne Augmentat,4750,Actif
1239,196DATA059,Mme.,Féminin,26,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000268,Conseilleur Technique,EMP,E2,4,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,87,0.08055555555555556,"1,5 jours par mois",-99,SBM,180,4.681,Campagne Augmentat,4025,Actif
1240,196DATA064,Mr.,Masculin,29,Maroc,MAR,Célibataire,0,0,0,MA-Cns,PRO,P00000538,Responsable D'Équipe,CAS,A2,4,J01,DI,temps plein,7.91,39.57,180,1,1,Administratif,Travail à distance,Locale,100,100,57,0.05277777777777778,"1,5 jours par mois",-99,SBM,2166.7,77.41,Titularisation,4965.7,Actif
1241,196DATA071,Mme.,Féminin,28,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,DOP3721,Conseiller Commercial,EMP,E2,2,J02,AN,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,21,0.03888888888888889,"1,5 jours par mois",-99,SBM,165.48,5.022,Non défini,3460.5,Actif
1242,196DATA072,Mme.,Féminin,27,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000559,Conseiller Commercial,EMP,E2,2,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,11,0.020370370370370372,"1,5 jours par mois",-99,SBM,211.5,6.51,Non défini,3460.5,Actif
1243,196DATA077,Mme.,Féminin,27,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000976,Chargé De Clientèle,EMP,E2,1,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,41,0.15185185185185185,"1,5 jours par mois",-99,SBM,180,4.681,Non défini,4025,Actif
1244,197DATA036,Mr.,Masculin,47,Maroc,SETTAT,Marié(e),0,0,0,MA-Cns,PRO,P00000213,Conseilleur Technique,EMP,E2,8,S02,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,185,0.08564814814814815,"1,5 jours par mois",96,SBM,225,5,Campagne Augmentat,4725,Actif
1245,197DATA044,Mr.,Masculin,33,Maroc,MEKNES,Célibataire,0,0,0,MA-MKS,PRO,P00001018,Responsable D'Équipe,EMP,E2,6,S02,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,111,0.06851851851851852,"1,5 jours par mois",30,SBM,138.14,3.07,Mutation,4638.14,Actif
1246,197DATA058,Mr.,Masculin,36,Maroc,MAR,Célibataire,0,0,0,MA-InTownProd,PRO,P00000918,Conseilleur Technique,EMP,E2,5,J02,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,120,0.08888888888888889,"1,5 jours par mois",-99,SBM,240.98,6.508,Campagne Augmentat,3944,Actif
1247,197DATA070,Mme.,Féminin,31,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000558,Chargé De Clientèle,EMP,E2,2,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,53,0.09814814814814815,"1,5 jours par mois",-99,SBM,180,4.681,Campagne Augmentat,4025,Actif
1248,197DATA077,Mme.,Féminin,28,Tchad,TCD,Marié(e),0,0,0,MA-Cns,PRO,P00000976,Chargé De Clientèle,EMP,E2,1,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,71,0.26296296296296295,"1,5 jours par mois",-99,SBM,180,4.681,Non défini,4025,Actif
1249,198DATA036,Mr.,Masculin,43,Maroc,CASABLANCA,Célibataire,0,0,0,MA-Cns,PRO,P00000892,Conseilleur Technique,EMP,E2,8,S01,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,248,0.11481481481481481,"1,5 jours par mois",101,SBM,225,5.263,Campagne Augmentat,4500,Actif
1250,198DATA037,Mme.,Féminin,37,Maroc,AGADIR,Marié(e),0,0,0,MA-Cns,PRO,P00000277,Chargé De Clientèle,EMP,E2,8,C02,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,410,0.18981481481481483,"1,5 jours par mois",107,SBM,250,5.882,Campagne Augmentat,4500,Actif
1251,198DATA045,Mr.,Masculin,40,Cameroun,CMR,Marié(e),0,0,0,MA-Cns,PRO,P00000918,Conseilleur Technique,EMP,E2,6,C03,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,74,0.04567901234567901,"1,5 jours par mois",101,SBM,250,5.556,Campagne Augmentat,4750,Actif
1252,198DATA069,Mme.,Féminin,25,Maroc,MAR,Marié(e),0,0,0,MA-MKS,PRO,P00001175,Chargé De Clientèle,EMP,E2,3,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,77,0.09506172839506173,"1,5 jours par mois",-99,SBM,72.4,2.039,Non défini,3622.5,Actif
1253,198DATA072,Mme.,Féminin,30,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000645,Conseilleur Technique,EMP,E2,2,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,19,0.03518518518518519,"1,5 jours par mois",-99,SBM,0,0,Non défini,3845,Actif
1254,198DATA077,Mme.,Féminin,57,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000976,Chargé De Clientèle,EMP,E2,1,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,29,0.10740740740740741,"1,5 jours par mois",-99,SBM,0,0,Non défini,3845,Actif
1255,199DATA038,Mr.,Masculin,29,Maroc,SIDI BENNOUR,Célibataire,0,0,0,MA-Cns,PRO,P00000902,Conseilleur Technique,EMP,E2,8,J03,DI,temps plein,4.610516765285995,39.6441459566075,182.884352399737,1,1,Administratif,Sur site,Locale,100,100,222,0.10115682264365558,"1,5 jours par mois",-99,SBM,150,4.348,Non défini,3600,Actif
1256,199DATA045,Mme.,Féminin,32,Sénégal,SEN,Marié(e),0,0,0,MA-Cns,PRO,P00000918,Conseilleur Technique,EMP,E2,6,C01,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,141,0.08703703703703704,"1,5 jours par mois",86,SBM,225,5.59,Campagne Augmentat,4250,Actif
1257,199DATA046,Mme.,Féminin,31,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00000277,Chargé De Clientèle,EMP,E2,6,C01,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,168,0.1037037037037037,"1,5 jours par mois",101,SBM,225,5.59,Campagne Augmentat,4250,Actif
